Index, Altitude (km), Ground Range (km), IHAZE (1 = 23 km vis, 2 = 5 km vis)
1,0.002,0,1,
2,0.002,0.1,1,
3,0.002,0.5,1,
4,0.002,1,1,
5,0.002,2,1,
6,0.002,3,1,
7,0.002,4,1,
8,0.002,5,1,
9,0.0325,0,1,
10,0.0325,0.1,1,
11,0.0325,0.5,1,
12,0.0325,1,1,
13,0.0325,2,1,
14,0.0325,3,1,
15,0.0325,4,1,
16,0.0325,5,1,
17,0.0325,6,1,
18,0.0325,7,1,
19,0.0325,8,1,
20,0.0325,9,1,
21,0.0325,10,1,
22,0.0325,11,1,
23,0.0325,12,1,
24,0.0325,13,1,
25,0.0325,14,1,
26,0.0325,15,1,
27,0.0325,16,1,
28,0.0325,17,1,
29,0.0325,18,1,
30,0.0325,19,1,
31,0.0325,20,1,
32,0.075,0,1,
33,0.075,0.1,1,
34,0.075,0.5,1,
35,0.075,1,1,
36,0.075,2,1,
37,0.075,3,1,
38,0.075,4,1,
39,0.075,5,1,
40,0.075,6,1,
41,0.075,7,1,
42,0.075,8,1,
43,0.075,9,1,
44,0.075,10,1,
45,0.075,11,1,
46,0.075,12,1,
47,0.075,13,1,
48,0.075,14,1,
49,0.075,15,1,
50,0.075,16,1,
51,0.075,17,1,
52,0.075,18,1,
53,0.075,19,1,
54,0.075,20,1,
55,0.075,22,1,
56,0.075,24,1,
57,0.075,26,1,
58,0.075,28,1,
59,0.075,30,1,
60,0.15,0,1,
61,0.15,0.1,1,
62,0.15,0.5,1,
63,0.15,1,1,
64,0.15,2,1,
65,0.15,3,1,
66,0.15,4,1,
67,0.15,5,1,
68,0.15,6,1,
69,0.15,7,1,
70,0.15,8,1,
71,0.15,9,1,
72,0.15,10,1,
73,0.15,11,1,
74,0.15,12,1,
75,0.15,13,1,
76,0.15,14,1,
77,0.15,15,1,
78,0.15,16,1,
79,0.15,17,1,
80,0.15,18,1,
81,0.15,19,1,
82,0.15,20,1,
83,0.15,22,1,
84,0.15,24,1,
85,0.15,26,1,
86,0.15,28,1,
87,0.15,30,1,
